date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,year,day_of_week
2013-08-22 00:00:00,State Fair,297.42,0.0,0.0,12,Clouds,few clouds,661,2013,3
2013-08-22 01:00:00,State Fair,297.42,0.0,0.0,12,Clouds,few clouds,385,2013,3
2013-08-22 02:00:00,State Fair,297.09,0.0,0.0,12,Clouds,few clouds,302,2013,3
2013-08-22 03:00:00,State Fair,296.89,0.0,0.0,0,Clear,Sky is Clear,374,2013,3
2013-08-22 04:00:00,State Fair,296.34,0.0,0.0,0,Clear,Sky is Clear,871,2013,3
2013-08-22 05:00:00,State Fair,295.95,0.0,0.0,0,Clear,Sky is Clear,3145,2013,3
2013-08-22 06:00:00,State Fair,295.45,0.0,0.0,0,Mist,mist,6188,2013,3
2013-08-22 07:00:00,State Fair,295.34,0.0,0.0,0,Mist,mist,6823,2013,3
2013-08-22 08:00:00,State Fair,295.74,0.0,0.0,0,Mist,mist,4343,2013,3
2013-08-22 09:00:00,State Fair,296.81,0.0,0.0,32,Clouds,scattered clouds,6063,2013,3
2013-08-22 10:00:00,State Fair,298.39,0.0,0.0,32,Clouds,scattered clouds,5022,2013,3
2013-08-22 11:00:00,State Fair,299.9,0.0,0.0,32,Clouds,scattered clouds,5205,2013,3
2013-08-22 12:00:00,State Fair,300.43,0.0,0.0,76,Clouds,broken clouds,5462,2013,3
2013-08-22 13:00:00,State Fair,301.24,0.0,0.0,75,Clouds,broken clouds,5492,2013,3
2013-08-22 14:00:00,State Fair,301.12,0.0,0.0,76,Clouds,broken clouds,5759,2013,3
2013-08-22 15:00:00,State Fair,301.92,0.0,0.0,92,Clouds,overcast clouds,6173,2013,3
2013-08-22 16:00:00,State Fair,301.65,0.0,0.0,92,Haze,haze,6346,2013,3
2013-08-22 17:00:00,State Fair,302.28,0.0,0.0,92,Rain,light rain,5786,2013,3
2013-08-22 18:00:00,State Fair,302.33,0.51,0.0,0,Rain,light rain,4762,2013,3
2013-08-22 19:00:00,State Fair,301.6,0.0,0.0,0,Rain,light rain,3696,2013,3
2013-08-22 20:00:00,State Fair,299.34,0.0,0.0,0,Rain,light rain,3320,2013,3
2013-08-22 21:00:00,State Fair,297.75,0.0,0.0,12,Rain,light rain,3006,2013,3
2013-08-22 22:00:00,State Fair,297.03,0.0,0.0,12,Rain,light rain,2158,2013,3
2013-08-22 23:00:00,State Fair,296.17,0.0,0.0,12,Rain,light rain,1425,2013,3
2015-08-27 00:00:00,State Fair,287.97,0.0,0.0,1,Clear,sky is clear,605,2015,3
2015-08-27 01:00:00,State Fair,287.73,0.0,0.0,40,Clouds,scattered clouds,411,2015,3
2015-08-27 02:00:00,State Fair,287.4,0.0,0.0,40,Clouds,scattered clouds,257,2015,3
2015-08-27 03:00:00,State Fair,287.49,0.0,0.0,40,Clouds,scattered clouds,376,2015,3
2015-08-27 04:00:00,State Fair,287.66,0.0,0.0,75,Clouds,broken clouds,881,2015,3
2015-08-27 05:00:00,State Fair,287.16,0.0,0.0,1,Clear,sky is clear,3016,2015,3
2015-08-27 06:00:00,State Fair,287.21,0.0,0.0,1,Clear,sky is clear,5668,2015,3
2015-08-27 07:00:00,State Fair,288.1,0.0,0.0,40,Clouds,scattered clouds,6642,2015,3
2015-08-27 08:00:00,State Fair,289.42,0.0,0.0,1,Clear,sky is clear,6138,2015,3
2015-08-27 09:00:00,State Fair,289.98,0.0,0.0,75,Clouds,broken clouds,5576,2015,3
2015-08-27 10:00:00,State Fair,292.57,0.0,0.0,90,Clouds,overcast clouds,4948,2015,3
2015-08-27 11:00:00,State Fair,294.27,0.0,0.0,90,Clouds,overcast clouds,5056,2015,3
2015-08-27 12:00:00,State Fair,294.68,0.0,0.0,40,Clouds,scattered clouds,5405,2015,3
2015-08-27 13:00:00,State Fair,295.85,0.0,0.0,1,Clear,sky is clear,5245,2015,3
2015-08-27 14:00:00,State Fair,295.9,0.0,0.0,1,Clear,sky is clear,5602,2015,3
2015-08-27 15:00:00,State Fair,296.86,0.0,0.0,1,Clear,sky is clear,5957,2015,3
2015-08-27 16:00:00,State Fair,296.73,0.0,0.0,1,Clear,sky is clear,6719,2015,3
2015-08-27 17:00:00,State Fair,296.53,0.0,0.0,40,Clouds,scattered clouds,6175,2015,3
2015-08-27 18:00:00,State Fair,295.7,0.0,0.0,1,Clear,sky is clear,4588,2015,3
2015-08-27 19:00:00,State Fair,294.42,0.0,0.0,1,Clear,sky is clear,3619,2015,3
2015-08-27 20:00:00,State Fair,293.2,0.0,0.0,1,Clear,sky is clear,3173,2015,3
2015-08-27 21:00:00,State Fair,292.21,0.0,0.0,1,Clear,sky is clear,2867,2015,3
2015-08-27 22:00:00,State Fair,291.56,0.0,0.0,1,Clear,sky is clear,2033,2015,3
2015-08-27 23:00:00,State Fair,291.18,0.0,0.0,1,Clear,sky is clear,1290,2015,3
2016-08-25 00:00:00,State Fair,290.82,0.0,0.0,1,Clear,sky is clear,655,2016,3
2016-08-25 01:00:00,State Fair,290.08,0.0,0.0,1,Clear,sky is clear,440,2016,3
2016-08-25 02:00:00,State Fair,289.38,0.0,0.0,1,Clear,sky is clear,322,2016,3
2016-08-25 03:00:00,State Fair,289.19,0.0,0.0,1,Clear,sky is clear,408,2016,3
2016-08-25 04:00:00,State Fair,288.75,0.0,0.0,1,Clear,sky is clear,914,2016,3
2016-08-25 05:00:00,State Fair,288.35,0.0,0.0,1,Clear,sky is clear,2925,2016,3
2016-08-25 06:00:00,State Fair,288.31,0.0,0.0,1,Mist,mist,5404,2016,3
2016-08-25 07:00:00,State Fair,288.58,0.0,0.0,1,Clear,sky is clear,6256,2016,3
2016-08-25 08:00:00,State Fair,289.96,0.0,0.0,1,Clear,sky is clear,5798,2016,3
2016-08-25 09:00:00,State Fair,291.59,0.0,0.0,1,Clear,sky is clear,5308,2016,3
2016-08-25 10:00:00,State Fair,293.12,0.0,0.0,1,Clear,sky is clear,4895,2016,3
